Design Set,35,4,,,
Parameters, Status, Socket Thickness, Socket Offset, Finger Thickness, Finger Offset
Units, , mm, mm, mm, mm
Scenario 1,1,1,1,1,1
Scenario 2,1,1.5,1,1.5,1
Scenario 3,1,2,1,2,1
Scenario 4,1,2.5,1,2.5,1
Scenario 5,1,3,1,3,1
Scenario 6,1,3.5,1,3.5,1
Scenario 7,1,4,1,4,1
Scenario 8,1,1,1.5,1,1.5
Scenario 9,1,1.5,1.5,1.5,1.5
Scenario 10,1,2,1.5,2,1.5
Scenario 11,1,2.5,1.5,2.5,1.5
Scenario 12,1,3,1.5,3,1.5
Scenario 13,1,3.5,1.5,3.5,1.5
Scenario 14,1,4,1.5,4,1.5
Scenario 15,1,1,2,1,2
Scenario 16,1,1.5,2,1.5,2
Scenario 17,1,2,2,2,2
Scenario 18,1,2.5,2,2.5,2
Scenario 19,1,3,2,3,2
Scenario 20,1,3.5,2,3.5,2
Scenario 21,1,4,2,4,2
Scenario 22,1,1,2.5,1,2.5
Scenario 23,1,1.5,2.5,1.5,2.5
Scenario 24,1,2,2.5,2,2.5
Scenario 25,1,2.5,2.5,2.5,2.5
Scenario 26,1,3,2.5,3,2.5
Scenario 27,1,3.5,2.5,3.5,2.5
Scenario 28,1,4,2.5,4,2.5
Scenario 29,1,1,3,1,3
Scenario 30,1,1.5,3,1.5,3
Scenario 31,1,2,3,2,3
Scenario 32,1,2.5,3,2.5,3
Scenario 33,1,3,3,3,3
Scenario 34,1,3.5,3,3.5,3
Scenario 35,1,4,3,4,3
